Date       StartTime Duration Distance
2024-04-01 07:30     30       5.2
2024-04-02 07:45     25       4.8
2024-04-03 07:20     40       6.0
2024-04-04 07:50     35       5.5
2024-04-05 08:00     45       6.3
2024-04-06 07:25     30       5.4
2024-04-07 07:35     38       5.9
2024-04-08 07:40     32       5.1
2024-04-09 07:50     29       4.6
2024-04-10 07:25     37       5.8
2024-04-11 07:55     33       5.3
2024-04-12 07:30     45       6.7
2024-04-13 07:45     42       6.1
2024-04-14 07:50     30       5.0
2024-04-15 08:00     40       5.6
2024-04-16 07:35     28       4.7
2024-04-17 07:45     35       5.5
2024-04-18 07:50     32       5.2
2024-04-19 08:00     45       6.5
2024-04-20 07:20     39       5.8
2024-04-21 07:30     30       5.4
2024-04-22 07:35     31       5.2
2024-04-23 07:45     34       5.5
2024-04-24 07:50     28       4.9
2024-04-25 08:00     36       5.7
2024-04-26 07:20     40       6.0
2024-04-27 07:25     30       5.3
2024-04-28 07:30     32       5.1
2024-04-29 07:40     33       5.2
2024-04-30 07:50     37       5.8
2024-05-01 08:00     42       6.3
2024-05-02 07:20     38       5.7
2024-05-03 07:30     29       4.8
2024-05-04 07:35     31       5.0
2024-05-05 07:45     35       5.4
